"sample","plastic","time_of_death","week","status","rep"
"T1","T",48,"1",0,1
"T1","T",48,"1",0,1
"T1","T",48,"1",0,1
"T1","T",48,"1",0,1
"T1","T",48,"1",0,1
"T1","T",48,"1",0,1
"T1","T",48,"1",0,1
"T1","T",48,"1",0,1
"T1","T",48,"1",0,1
"T1","T",48,"1",0,1
"V1","V",48,"1",0,1
"V1","V",48,"1",0,1
"V1","V",48,"1",0,1
"V1","V",48,"1",0,1
"V1","V",48,"1",0,1
"V1","V",48,"1",0,1
"V1","V",48,"1",0,1
"V1","V",48,"1",0,1
"V1","V",48,"1",0,1
"V1","V",48,"1",0,1
"P1","P",48,"1",0,1
"P1","P",48,"1",0,1
"P1","P",48,"1",0,1
"P1","P",48,"1",0,1
"P1","P",48,"1",0,1
"P1","P",48,"1",0,1
"P1","P",48,"1",0,1
"P1","P",48,"1",0,1
"P1","P",48,"1",0,1
"P1","P",48,"1",0,1
"L1","L",48,"1",0,1
"L1","L",48,"1",0,1
"L1","L",48,"1",0,1
"L1","L",48,"1",0,1
"L1","L",48,"1",0,1
"L1","L",48,"1",0,1
"L1","L",48,"1",0,1
"L1","L",48,"1",0,1
"L1","L",48,"1",0,1
"L1","L",48,"1",0,1
"H1","H",48,"1",0,1
"H1","H",48,"1",0,1
"H1","H",48,"1",0,1
"H1","H",48,"1",0,1
"H1","H",48,"1",0,1
"H1","H",48,"1",0,1
"H1","H",48,"1",0,1
"H1","H",48,"1",0,1
"H1","H",48,"1",0,1
"H1","H",48,"1",0,1
"T2","T",48,"1",0,2
"T2","T",48,"1",0,2
"T2","T",48,"1",0,2
"T2","T",48,"1",0,2
"T2","T",48,"1",0,2
"T2","T",48,"1",0,2
"T2","T",48,"1",0,2
"T2","T",48,"1",0,2
"T2","T",48,"1",0,2
"T2","T",48,"1",0,2
"V2","V",48,"1",0,2
"V2","V",48,"1",0,2
"V2","V",48,"1",0,2
"V2","V",48,"1",0,2
"V2","V",48,"1",0,2
"V2","V",48,"1",0,2
"V2","V",48,"1",0,2
"V2","V",48,"1",0,2
"V2","V",48,"1",0,2
"V2","V",48,"1",0,2
"P2","P",48,"1",0,2
"P2","P",48,"1",0,2
"P2","P",48,"1",0,2
"P2","P",48,"1",0,2
"P2","P",48,"1",0,2
"P2","P",48,"1",0,2
"P2","P",48,"1",0,2
"P2","P",48,"1",0,2
"P2","P",48,"1",0,2
"P2","P",48,"1",0,2
"L2","L",48,"1",0,2
"L2","L",48,"1",0,2
"L2","L",48,"1",0,2
"L2","L",48,"1",0,2
"L2","L",48,"1",0,2
"L2","L",48,"1",0,2
"L2","L",48,"1",0,2
"L2","L",48,"1",0,2
"L2","L",48,"1",0,2
"L2","L",48,"1",0,2
"H2","H",24,"1",1,2
"H2","H",48,"1",0,2
"H2","H",48,"1",0,2
"H2","H",48,"1",0,2
"H2","H",48,"1",0,2
"H2","H",48,"1",0,2
"H2","H",48,"1",0,2
"H2","H",48,"1",0,2
"H2","H",48,"1",0,2
"H2","H",48,"1",0,2
"T3","T",48,"1",0,3
"T3","T",48,"1",0,3
"T3","T",48,"1",0,3
"T3","T",48,"1",0,3
"T3","T",48,"1",0,3
"T3","T",48,"1",0,3
"T3","T",48,"1",0,3
"T3","T",48,"1",0,3
"T3","T",48,"1",0,3
"T3","T",48,"1",0,3
"V3","V",48,"1",0,3
"V3","V",48,"1",0,3
"V3","V",48,"1",0,3
"V3","V",48,"1",0,3
"V3","V",48,"1",0,3
"V3","V",48,"1",0,3
"V3","V",48,"1",0,3
"V3","V",48,"1",0,3
"V3","V",48,"1",0,3
"V3","V",48,"1",0,3
"P3","P",48,"1",0,3
"P3","P",48,"1",0,3
"P3","P",48,"1",0,3
"P3","P",48,"1",0,3
"P3","P",48,"1",0,3
"P3","P",48,"1",0,3
"P3","P",48,"1",0,3
"P3","P",48,"1",0,3
"P3","P",48,"1",0,3
"P3","P",48,"1",0,3
"L3","L",48,"1",0,3
"L3","L",48,"1",0,3
"L3","L",48,"1",0,3
"L3","L",48,"1",0,3
"L3","L",48,"1",0,3
"L3","L",48,"1",0,3
"L3","L",48,"1",0,3
"L3","L",48,"1",0,3
"L3","L",48,"1",0,3
"L3","L",48,"1",0,3
"H3","H",24,"1",1,3
"H3","H",48,"1",0,3
"H3","H",48,"1",0,3
"H3","H",48,"1",0,3
"H3","H",48,"1",0,3
"H3","H",48,"1",0,3
"H3","H",48,"1",0,3
"H3","H",48,"1",0,3
"H3","H",48,"1",0,3
"H3","H",48,"1",0,3
"T4","T",48,"1",0,4
"T4","T",48,"1",0,4
"T4","T",48,"1",0,4
"T4","T",48,"1",0,4
"T4","T",48,"1",0,4
"T4","T",48,"1",0,4
"T4","T",48,"1",0,4
"T4","T",48,"1",0,4
"T4","T",48,"1",0,4
"T4","T",48,"1",0,4
"V4","V",48,"1",0,4
"V4","V",48,"1",0,4
"V4","V",48,"1",0,4
"V4","V",48,"1",0,4
"V4","V",48,"1",0,4
"V4","V",48,"1",0,4
"V4","V",48,"1",0,4
"V4","V",48,"1",0,4
"V4","V",48,"1",0,4
"V4","V",48,"1",0,4
"P4","P",48,"1",0,4
"P4","P",48,"1",0,4
"P4","P",48,"1",0,4
"P4","P",48,"1",0,4
"P4","P",48,"1",0,4
"P4","P",48,"1",0,4
"P4","P",48,"1",0,4
"P4","P",48,"1",0,4
"P4","P",48,"1",0,4
"P4","P",48,"1",0,4
"L4","L",48,"1",0,4
"L4","L",48,"1",0,4
"L4","L",48,"1",0,4
"L4","L",48,"1",0,4
"L4","L",48,"1",0,4
"L4","L",48,"1",0,4
"L4","L",48,"1",0,4
"L4","L",48,"1",0,4
"L4","L",48,"1",0,4
"L4","L",48,"1",0,4
"H4","H",48,"1",0,4
